,NO.,Part No,Part Prefix,Part Base,Part Suffix,Part Name,Part Group,Supplier,Supplier PartNo,Supplier PartNo FTM,Supply Type,SNP In,Min Stock Pickface,Location,Package Length MM,Package Width MM,Package Height MM,Package Type,Piece Weight KG,Boxes Per Pallet,Tare Weight KG,Active,ShowShortage,Remarks,Create By,Create Date,Update By,Last Updated
,31,N1WB16451SA,N1WB,16451,SA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,32,SKIP09L,S,KI,P09L,N/A,GROUP 09L,ARK,,,SEQ,1,0,PART-NEWMODEL,1,1,1,,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,,admin,
,33,SKIP09R,S,KI,P09R,N/A,GROUP 09R,ARK,,,SEQ,1,0,PART-NEWMODEL,1,1,1,,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,,admin,
,34,N1VB5D042AE,N1VB,5D042,AE,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:18
,35,P1VB5D042AB,P1VB,5D042,AB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:19
,36,N1WBE28550AF,N1WB,E28550,AF,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:20
,37,N1WBE28551AF,N1WB,E28551,AF,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:20
,38,N1WBE28552AE,N1WB,E28552,AE,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:21
,39,N1WBE28552BB,N1WB,E28552,BB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:22
,40,N1WBE28552CB,N1WB,E28552,CB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:22
,41,N1WBE28553BB,N1WB,E28553,BB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:23
,42,N1WBE28553CB,N1WB,E28553,CB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:23
,43,N1WBE000A27AB,N1WB,E000A27,AB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:24
,44,AMN1WJ26500B24AB5G9Z,AMN1WJ,26500B24,AB5G9Z,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:24
,45,AMN1WJ26500B24BB542A,AMN1WJ,26500B24,BB542A,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:25
,46,AMN1WJ26500B24GB5A4D,AMN1WJ,26500B24,GB5A4D,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:26
,47,AMN1WJ26500B24GB5G9Z,AMN1WJ,26500B24,GB5G9Z,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-10 11:38:17,admin,2023-08-12 14:22:26
,48,N1WBE28552DB,N1WB,E28552,DB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-12 10:45:33,admin,2023-08-12 14:22:45
,49,N1WBE28552EB,N1WB,E28552,EB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-12 10:45:33,admin,2023-08-12 14:22:46
,50,N1WBE28553DB,N1WB,E28553,DB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-12 10:45:33,admin,2023-08-12 14:22:46
,51,N1WBE28553EB,N1WB,E28553,EB,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-08-12 10:45:33,admin,2023-08-12 14:22:47
,52,AMN1WJ26500B24AB5A4D,AMN1WJ,26500B24,AB5A4D,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-09-26 07:41:36,admin,2024-05-15 16:16:28
,53,AMN1WJ26500B24AB542A,AMN1WJ,26500B24,AB542A,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-09-26 07:41:36,admin,2024-05-15 16:16:27
,54,AMN1WJ26500B24BB5A4D,AMN1WJ,26500B24,BB5A4D,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-09-26 07:41:36,admin,2024-05-15 16:16:26
,55,P1VB5D042AC,P1VB,5D042,AC,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-10-17 09:06:03,admin,2024-05-15 16:16:26
,56,AMN1WJ26500B24GB5HCS,AMN1WJ,26500B24,GB5HCS,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-25 07:43:00,admin,2024-05-15 16:16:25
,57,AMN1WJ26500B24GB538P,AMN1WJ,26500B24,GB538P,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-25 07:43:00,admin,2024-05-15 16:16:25
,58,AMN1WJ26500B24GB542A,AMN1WJ,26500B24,GB542A,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-25 07:43:00,admin,2024-05-15 16:16:24
,59,AMN1WJ26500B24AB5HCS,AMN1WJ,26500B24,AB5HCS,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-29 06:53:26,admin,2024-05-15 16:16:23
,60,AMN1WJ26500B24AB538P,AMN1WJ,26500B24,AB538P,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-29 06:53:26,admin,2024-05-15 16:16:22
,61,AMN1WJ26500B24BB5G9Z,AMN1WJ,26500B24,BB5G9Z,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-29 06:53:26,admin,2024-05-15 16:16:21
,62,AMN1WJ26500B24BB5HCS,AMN1WJ,26500B24,BB5HCS,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-29 06:53:26,admin,2024-05-15 16:16:21
,63,AMN1WJ26500B24BB538P,AMN1WJ,26500B24,BB538P,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2023-11-29 06:53:26,admin,2024-05-15 16:16:20
,64,P1VB5D042AD,P1VB,5D042,AD,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-02-12 08:55:48,admin,2024-05-15 16:16:20
,65,R1WB16450UA,R1WB,16450,UA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-05-10 04:49:01,admin,2025-06-28 09:15:05
,66,R1WB16451UA,R1WB,16451,UA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-05-10 04:49:01,admin,2025-06-28 09:16:03
,67,N1VB16450AC,N1VB,16450,AC,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,4,PF-03,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:15:06
,68,N1VB16450BC,N1VB,16450,BC,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,4,PF-02,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:15:06
,69,N1VB16450CC,N1VB,16450,CC,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,4,PE-03,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:15:07
,70,N1WB16450CB,N1WB,16450,CB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,4,PE-01,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:15:07
,71,N1WB16450FB,N1WB,16450,FB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:15:08
,72,N1WB16450GB,N1WB,16450,GB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,4,PE-02,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:15:09
,73,N1VB16451AC,N1VB,16451,AC,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,4,PF-04,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:16:04
,74,N1VB16451BC,N1VB,16451,BC,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,4,PF-05,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:16:05
,75,N1VB16451CC,N1VB,16451,CC,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,4,PE-04,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:16:05
,76,N1WB16451CB,N1WB,16451,CB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,4,PF-06,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:16:06
,77,N1WB16451FB,N1WB,16451,FB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:16:06
,78,N1WB16451GB,N1WB,16451,GB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,4,PE-05,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-13 04:56:33,admin,2025-06-28 09:16:07
,79,N1WB16450BB,N1WB,16450,BB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-20 22:08:15,admin,2025-06-28 09:15:10
,80,N1WB16451BB,N1WB,16451,BB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-06-20 22:08:15,admin,2025-06-28 09:16:08
,81,R1WB16450BA,R1WB,16450,BA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-09-02 07:35:16,admin,2025-06-28 09:15:10
,82,R1WB16450LA,R1WB,16450,LA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-09-02 07:35:16,admin,2025-06-28 09:15:10
,83,R1WB16450PA,R1WB,16450,PA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-09-02 07:35:16,admin,2025-06-28 09:15:11
,84,R1WB16451BA,R1WB,16451,BA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-09-02 07:35:16,admin,2025-06-28 09:16:08
,85,R1WB16451LA,R1WB,16451,LA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-09-02 07:35:16,admin,2025-06-28 09:16:09
,86,R1WB16451PA,R1WB,16451,PA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,10,PART-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-09-02 07:35:16,admin,2025-06-28 09:16:09
,87,R1WJ26500B24AA5A4D,R1WJ,26500B24,AA5A4D,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:01
,88,R1WJ26500B24AA5G9Z,R1WJ,26500B24,AA5G9Z,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:01
,89,R1WJ26500B24AA5HCS,R1WJ,26500B24,AA5HCS,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:02
,90,R1WJ26500B24AA542A,R1WJ,26500B24,AA542A,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:02
,91,R1WJ26500B24BA5A4D,R1WJ,26500B24,BA5A4D,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:02
,92,R1WJ26500B24BA5G9Z,R1WJ,26500B24,BA5G9Z,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:03
,93,R1WJ26500B24BA5HCS,R1WJ,26500B24,BA5HCS,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:03
,94,R1WJ26500B24GA5G9Z,R1WJ,26500B24,GA5G9Z,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:04
,95,R1WJ26500B24GA5HCS,R1WJ,26500B24,GA5HCS,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-07 10:08:49,admin,2025-04-09 15:00:04
,96,R1WB16450LB,R1WB,16450,LB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,5,10,PX-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-16 05:13:18,admin,2025-06-28 09:15:11
,97,R1WB16450PB,R1WB,16450,PB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,5,10,PX-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-16 05:13:21,admin,2025-06-28 09:15:12
,98,R1WB16451LB,R1WB,16451,LB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,5,10,PX-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-16 05:13:21,admin,2025-06-28 09:16:10
,99,R1WB16451PB,R1WB,16451,PB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,5,10,PX-NEWMODEL,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-16 05:13:21,admin,2025-06-28 09:16:10
,100,R1WB16450UB,R1WB,16450,UB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,5,4,PE-01,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-18 04:30:30,admin,2025-06-28 09:15:13
,101,R1WB16451UB,R1WB,16451,UB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,5,4,PE-06,2410,970,400,PTB,1,1,46.8,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-18 04:30:30,admin,2025-06-28 09:16:10
,102,R1WJ26500B24AA538P,R1WJ,26500B24,AA538P,N/A,TTV Not Supply,ARK,,,SEQ,1,10,PART-NEWMODEL,1,1,1,PTB,1,1,1,Y,N,AUTO ADDED BY SYSTEM,admin,2024-10-19 04:53:58,admin,2025-04-09 15:00:05
